Operator,Task,Start,Finish,Successor
1,3887142,11.174878256380225,21.824878256380224,3888071
1,3888071,32.343945609555334,43.00394560955533,0
2,3878651,11.1749782563802,21.7849782563802,3880659
2,3880659,32.30962697894428,42.95296031227761,3880594
2,3878119,53.47661616725354,64.11994950058687,3878651
2,3880594,53.47760903484169,64.12094236817502,0
3,3878213,11.174878256380222,21.78487825638022,3878270
3,3878270,32.309526978944305,42.952860312277636,0
3,3878270,32.309526978944305,42.952860312277636,3878119
3,3878119,53.47661616725354,64.11994950058687,0
