Operator,Task,Start,Finish,Successor
1,3874843,11.17487825638025,21.281544923046916,3877162
1,3877162,31.354102725103655,41.44743605843699,3874877
1,3877808,31.364525596499945,41.471192263166614,0
1,3874877,51.51999386049373,61.626660527160396,3883634
1,3883634,71.70479969860611,81.8047996986061,3883550
1,3883550,91.88293887005182,101.98293887005181,0
1,3883550,91.88293887005182,101.98293887005181,3877808
2,3878057,11.174878256380252,21.28154492304692,3876935
2,3878057,11.174878256380252,21.28154492304692,3877808
2,3877808,31.364525596499945,41.471192263166614,3876935
2,3876935,51.554172936619636,61.660839603286306,3878084
2,3878084,71.744560144121,81.85122681078767,0
