Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3881587,Service,10.0,10.0,22.006666666666668,12.006666666666668
1,2,3881587,3879789,Service,11.375807554383467,33.382474220050135,45.3491408867168,11.966666666666669
1,3,3879789,0,Return to Base,12.458593215845507,,,
2,1,0,3881650,Service,10.0,10.0,22.006666666666668,12.006666666666668
2,2,3881650,3877470,Service,11.439993302356733,33.44665996802339,43.44665996802339,10.0
2,3,3877470,3881607,Service,11.439993302356733,54.88665326938011,66.89331993604678,12.006666666666668
2,4,3881607,0,Return to Base,10.0,,,
