Operator,Task,Start,Finish,Successor
1,3878300,10.586043785842886,21.796043785842887,3884781
1,3884781,32.917899033027794,44.194565699694465,3881682
1,3881682,55.310839577490384,66.59083957749039,0
1,3881682,55.310839577490384,66.59083957749039,3890791
1,3890791,77.72562543514144,89.03562543514144,0
2,3881640,10.566608992981443,21.799942326314778,3881681
2,3881681,32.89389072655479,44.17722405988812,3888221
2,3888221,55.31861409993445,66.61194743326779,3888233
2,3890791,77.72562543514144,89.03562543514144,3881640
2,3888233,77.73938404984166,89.04938404984166,0
