Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3888171,Service,10.867902939986326,10.867902939986323,21.297902939986322,10.43
1,2,3888171,3884757,Service,10.376742433756123,31.674645373742464,42.09131204040913,10.416666666666664
1,3,3884757,3884789,Service,10.379533118450611,52.470845158859746,62.95751182552641,10.486666666666665
1,4,3884789,0,Return to Base,10.887437732847754,,,
2,1,0,3876879,Service,10.859530885902856,10.85953088590287,21.286197552569536,10.426666666666666
2,2,3876879,3885198,Service,10.357207640894693,31.643405193464233,42.070071860130895,10.426666666666662
2,3,3885198,3889013,Service,10.40743996539551,52.47751182552639,62.98084515885972,10.50333333333333
2,4,3889013,0,Return to Base,10.873484309375305,,,
