Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3874579,Service,11.174878256380202,11.174878256380197,21.301544923046862,10.126666666666665
1,2,3874579,3884003,Service,10.097673964307143,31.39921888735401,41.525885554020675,10.126666666666665
1,3,3884003,3874561,Service,10.097673964307143,51.62355951832782,61.75022618499449,10.126666666666665
1,4,3874561,3883883,Service,10.100464649001633,71.85069083399611,81.9806908339961,10.129999999999995
1,5,3883883,0,Return to Base,11.174878256380202,,,
2,1,0,3871943,Service,11.174878256380202,11.174878256380197,21.30821158971353,10.133333333333333
2,2,3871943,3871948,Service,10.106046018390613,31.414257608104123,41.547590941437456,10.133333333333333
2,3,3871948,3871951,Service,10.106046018390613,51.65363695982805,61.78697029316138,10.133333333333333
2,4,3871951,0,Return to Base,11.174878256380202,,,
