Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3871717,Service,10.613950632787754,10.613950632787805,21.813950632787805,11.2
1,2,3871717,3878413,Service,10.920925949181632,32.734876581969424,43.82154324863609,11.086666666666666
1,3,3878413,3871716,Service,10.912553895098162,54.73409714373427,65.95076381040093,11.216666666666661
1,4,3871716,3881657,Service,10.912553895098162,76.8633177054991,87.95665103883243,11.093333333333334
1,5,3881657,3873533,Service,10.884647048153264,98.84129808698569,110.04129808698569,11.200000000000003
1,6,3873533,3873670,Service,10.920925949181632,120.9622240361673,132.3694303198974,11.40720628373009
1,7,3873670,3888196,Service,10.973948958376937,143.3433792782743,154.52671261160765,11.183333333333337
1,8,3888196,0,Return to Base,10.636276110343672,,,
