Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3891375,Service,10.636276110343672,0.0,11.18,11.18
1,2,3891375,3878715,Service,10.95162348082102,22.131623480821013,33.48857582710949,11.35695234628848
1,3,3878715,0,Return to Base,10.622322686871223,,,
2,1,0,3888223,Service,10.613950632787754,0.0,11.396952346288483,11.396952346288483
2,2,3888223,0,Return to Base,10.613950632787754,,,
3,1,0,3885263,Service,10.622322686871223,0.0,11.176666666666666,11.176666666666666
3,2,3885263,3891064,Service,10.937670057348571,22.114336724015235,33.3210033906819,11.206666666666667
3,3,3891064,0,Return to Base,10.622322686871223,,,
