Operator,Task,Start,Finish,Successor
1,3888696,0.00012375606198133937,10.166790422728647,0
1,3888696,0.00012375606198133937,10.166790422728647,3883491
1,3883491,20.300495735285697,30.46382906861903,3887841
1,3887841,40.59778193395455,50.75778193395455,0
1,3887841,40.59778193395455,50.75778193395455,3888696
2,3883332,0.0,10.163333333333334,3886741
2,3886741,20.300076883363307,30.46341021669664,3886930
2,3886930,40.59736308203216,50.75736308203216,0
3,3883110,0.0,10.166666666666666,3889904
3,3889904,20.300619532002177,30.460619532002177,3889424
3,3889424,40.594572397337686,50.75457239733769,0
