Operator,Task,Start,Finish,Successor
1,3884527,-1.7763568394002505e-15,11.236666666666665,3883514
1,3883514,22.28038274240562,33.517049409072285,3885168
1,3885168,44.55518411542248,55.78518411542248,3876725
1,3876725,66.79262129013328,77.98928795679996,3886872
1,3886872,88.9911437621218,100.21447709545512,3884478
1,3884478,111.21633290077695,122.41299956744362,3885524
1,3885524,133.4260181115434,144.6626847782101,3884923
1,3884923,155.6757033223099,166.87236998897654,3891105
1,3891105,177.87980716368736,189.10980716368735,3889589
1,3889589,200.11724433839817,211.31391100506482,0
