Operator,Task,Start,Finish,Successor
1,3879730,1.7763568394002505e-15,10.333333333333336,3880137
1,3880137,20.645890019116194,30.97922335244953,3884730
1,3884730,41.27503593006546,51.58170259673212,3880897
1,3880897,61.87751517434805,72.21751517434805,3883574
1,3883574,82.5328625448254,92.86952921149208,3880905
1,3880905,103.18208589727494,113.51208589727494,3880917
1,3880917,123.8246425830578,134.16130924972447,3880612
1,3880612,144.47665662020182,154.82665662020182,3889606
1,3889606,165.1364226212902,175.4664226212902,3885437
1,3885437,185.7706072529896,196.11394058632294,0
