Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3883385,Service,12.944172352686731,0.0,11.03,11.03
1,2,3883385,3887332,Service,10.94046074204306,21.970460742043052,33.36712740870972,11.396666666666668
1,3,3887332,3887123,Service,10.759066236901223,44.126193645610925,55.45286031227759,11.326666666666668
1,4,3887123,3887341,Service,10.759066236901223,66.27975483834963,77.6764215050163,11.396666666666661
1,5,3887341,0,Return to Base,10.0,,,
2,1,0,3887362,Service,10.0,0.0,11.396666666666667,11.396666666666667
2,2,3887362,3883064,Service,10.895809786931224,22.292476453597907,33.119143120264575,10.826666666666668
2,3,3883064,3887228,Service,10.895809786931224,44.014952907195806,55.36161957386248,11.346666666666671
2,4,3887228,3885551,Service,10.918135264487141,66.27975483834963,77.6764215050163,11.396666666666661
2,5,3885551,0,Return to Base,10.0,,,
