CD_ORDER,CD_MISSION,NM_PRIORITY,TP_MISSION,DSC_MISSION,UDC,OID_STACKED_UDC,OID_FORKLIFT,FROM_X,FROM_Y,FROM_Z,AREA_FROM,TP_AREA_FROM,DSC_AREA_FROM,BEAM_FROM,AREA_TO,TP_AREA_TO,DSC_AREA_TO,BEAM_TO,TO_X,TO_Y,TO_Z,DT_INSERT,DT_START,DT_UPDATE,DIFF,OID_ORDER_R_BEAM,OID_ORDER,OID_ORDER_R,OID_ARTICLE,OID_BATCH,QTY_TO_PICK,NM_ENTIRE,NM_TOTAL,CD_ARTICLE,DSC_ARTICLE,WEIGHT,HEIGHT,TP_UDC,DT_READY_TO_GO,DIFF_READY_TO_GO
2562109561,"3,913,430",5,15,CARICO DA MAG AUTO,1,"3,804,952",34,"246,340","425,843",0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,902,9,1,9/11/2022 15:16,9/11/2022 15:22,9/11/2022 15:24,2,"1,385,856","1,293,796",0,0,0,0,1,1,738823,INDUSTRIAL SAGE SOFT 60x120 RET,875,760,1,9/11/2022 15:23,1
2562109561,"3,913,430",5,15,CARICO DA MAG AUTO,1,"3,804,952",34,"246,340","425,843",0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,902,9,1,9/11/2022 15:16,9/11/2022 15:22,9/11/2022 15:24,2,"1,385,856","1,293,796",0,0,0,0,1,1,769816,REVES DE REX PERLE GLOSSY 60X120 RETT,875,760,1,9/11/2022 15:23,1
2562109561,"3,913,430",5,15,CARICO DA MAG AUTO,1,"3,804,952",34,"246,340","425,843",0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,902,9,1,9/11/2022 15:16,9/11/2022 15:22,9/11/2022 15:24,2,"1,385,856","1,293,796",0,0,0,0,1,1,755724,MATIÈRES DE REX SABLE 60X60 RET,875,760,1,9/11/2022 15:23,1
2562109561,"3,913,430",5,15,CARICO DA MAG AUTO,1,"3,804,952",34,"246,340","425,843",0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,902,9,1,9/11/2022 15:16,9/11/2022 15:22,9/11/2022 15:24,2,"1,385,856","1,293,796",0,0,0,0,1,1,738811,INDUSTRIAL SAGE SOFT 60x60 RET,875,760,1,9/11/2022 15:23,1
2562118187,"3,914,144",5,15,CARICO DA MAG AUTO,1,"3,805,587",34,"246,340","425,843",0,MA-RUL-PIC,OUT_AUTO,RULLIERA PICKING MAGAUTO,-,0,STOCK,0,-,903,5,5,9/11/2022 19:36,9/11/2022 19:37,9/11/2022 19:38,1,"1,386,025","1,303,382",0,0,0,0,1,1,753296,I CLASSICI CAL.GOLD MATTE 60x120 RET,602,660,1,9/11/2022 19:38,1
2562120263,"3,913,901",6,60,POSIZIONAMENTO INTERI,2,"3,805,417",8,"247,175","842,870",0,M1-BF-02,STOCK,MAGAZZINO COPERTO,3,M1-BO-181,S_CO,BOX PRONTI CONTAINER,1,"218,901","723,118",0,9/11/2022 18:04,9/11/2022 18:23,9/11/2022 18:35,11,"1,385,940","1,305,688","40,282,566","1,728,472","461,662",0,4,4,765415,ONYX&MORE WHITE PORPHYRY STR 80X180 RET,"2,304",,4,9/11/2022 18:33,9
2562120263,"3,913,902",6,60,POSIZIONAMENTO INTERI,1,"3,805,450",8,"273,851","857,848",0,M1-CC-01,STOCK,MAGAZZINO COPERTO,8,M1-BO-181,S_CO,BOX PRONTI CONTAINER,2,"216,804","723,224",0,9/11/2022 18:04,9/11/2022 18:37,9/11/2022 18:43,6,"1,385,941","1,305,688","40,282,566","1,728,472","461,662",0,1,1,765415,ONYX&MORE WHITE PORPHYRY STR 80X180 RET,"2,304",,4,9/11/2022 18:42,5
2562120263,"3,913,903",6,60,POSIZIONAMENTO INTERI,2,"3,805,459",8,"273,178","845,657",0,M1-CE-01,STOCK,MAGAZZINO COPERTO,8,M1-BO-181,S_CO,BOX PRONTI CONTAINER,2,"216,804","723,224",0,9/11/2022 18:04,9/11/2022 18:43,9/11/2022 18:48,4,"1,385,939","1,305,688","40,282,566","1,728,472","461,662",0,4,4,765415,ONYX&MORE WHITE PORPHYRY STR 80X180 RET,"2,304",,4,9/11/2022 18:45,2
2562120263,"3,913,970",6,60,POSIZIONAMENTO INTERI,2,"3,805,426",8,"247,175","842,870",0,M1-BF-02,STOCK,MAGAZZINO COPERTO,3,M1-BO-181,S_CO,BOX PRONTI CONTAINER,2,"216,804","723,224",0,9/11/2022 18:33,9/11/2022 18:35,9/11/2022 18:37,2,"1,385,940","1,305,688","40,282,566","1,728,472","461,662",0,4,4,765415,ONYX&MORE WHITE PORPHYRY STR 80X180 RET,"2,304",,4,9/11/2022 18:35,1
2562120263,"3,913,996",6,60,POSIZIONAMENTO INTERI,2,"3,805,467",8,"273,178","845,657",0,M1-CE-01,STOCK,MAGAZZINO COPERTO,8,M1-BO-181,S_CO,BOX PRONTI CONTAINER,2,"216,804","723,224",0,9/11/2022 18:46,9/11/2022 18:48,9/11/2022 18:50,2,"1,385,939","1,305,688","40,282,566","1,728,472","461,662",0,4,4,765415,ONYX&MORE WHITE PORPHYRY STR 80X180 RET,"2,304",,4,9/11/2022 18:49,1
2562120265,"3,913,900",6,60,POSIZIONAMENTO INTERI,2,"3,805,357",8,"265,465","858,321",0,M1-CC-01,STOCK,MAGAZZINO COPERTO,4,M3-BO-22A,S_CO,BOX PRONTI CONTAINER,1,"202,114","386,440",0,9/11/2022 18:04,9/11/2022 18:04,9/11/2022 18:10,6,"1,385,938","1,305,690","40,282,573","1,728,473","461,863",0,9,9,765417,ONYX&MORE GOLDEN PORPHYRY STR 80X180 RET,"2,304",,4,9/11/2022 18:09,5
2562120265,"3,913,900",6,60,POSIZIONAMENTO INTERI,2,"3,805,357",8,"265,465","858,321",0,M1-CC-01,STOCK,MAGAZZINO COPERTO,4,M3-BO-22A,S_CO,BOX PRONTI CONTAINER,1,"202,114","386,440",0,9/11/2022 18:04,9/11/2022 18:04,9/11/2022 18:10,6,"1,385,938","1,305,690","40,282,573","1,728,473","461,863",0,9,9,765417,ONYX&MORE GOLDEN PORPHYRY STR 80X180 RET,"2,304",,4,9/11/2022 18:09,5
2562120265,"3,913,911",6,60,POSIZIONAMENTO INTERI,2,"3,805,365",8,"265,465","858,321",0,M1-CC-01,STOCK,MAGAZZINO COPERTO,4,M1-BO-181,S_CO,BOX PRONTI CONTAINER,1,"218,901","723,118",0,9/11/2022 18:09,9/11/2022 18:10,9/11/2022 18:13,3,"1,385,938","1,305,690","40,282,573","1,728,473","461,863",0,9,9,765417,ONYX&MORE GOLDEN PORPHYRY STR 80X180 RET,"2,304",,4,9/11/2022 18:11,1
