CD_MISSION,NM_PRIORITY,OID_FORKLIFT,FROM_X,FROM_Y,TO_X,TO_Y,DT_INSERT,DT_START,DT_UPDATE,DIFF,WEIGHT,HEIGHT,TP_UDC,DT_READY_TO_GO,DIFF_READY_TO_GO,FROM_Z,TO_Z
"4,157,521",5,44,"246,340","425,843","342,287","423,147",4/3/2023 6:26,4/3/2023 6:41,4/3/2023 6:43,2,"1,232","1,040",1,4/3/2023 6:42,1,0,0
"4,157,534",5,44,"246,340","425,843","264,068","413,947",4/3/2023 6:39,4/3/2023 6:43,4/3/2023 6:44,1,"1,144","1,040",1,4/3/2023 6:43,0,0,0
"4,157,539",5,44,"246,340","425,843","264,068","413,947",4/3/2023 6:40,4/3/2023 6:44,4/3/2023 6:45,1,"1,232","1,020",1,4/3/2023 6:44,0,0,0
"4,157,544",5,44,"246,340","425,843","264,068","413,947",4/3/2023 6:44,4/3/2023 6:56,4/3/2023 6:57,1,"1,232","1,040",1,4/3/2023 6:57,1,0,0
"4,157,545",5,44,"246,340","425,843","264,068","413,947",4/3/2023 6:45,4/3/2023 6:57,4/3/2023 6:59,1,616,600,1,4/3/2023 6:58,1,0,0
"4,157,548",5,44,"246,340","425,843","342,287","423,147",4/3/2023 6:46,4/3/2023 6:59,4/3/2023 7:00,1,"1,210","1,020",1,4/3/2023 6:59,0,0,0
"4,157,562",5,44,"246,340","425,843","263,860","411,155",4/3/2023 6:57,4/3/2023 7:04,4/3/2023 7:06,2,374,600,1,4/3/2023 7:05,1,0,0
"4,157,563",5,44,"246,340","425,843","263,860","411,155",4/3/2023 6:58,4/3/2023 7:06,4/3/2023 7:07,1,"1,232","1,040",1,4/3/2023 7:06,0,0,0
"4,157,569",5,44,"246,340","425,843","263,860","411,155",4/3/2023 7:01,4/3/2023 7:14,4/3/2023 7:16,2,"1,232","1,020",1,4/3/2023 7:15,1,0,0
"4,157,575",5,44,"246,340","425,843","263,860","411,155",4/3/2023 7:04,4/3/2023 7:16,4/3/2023 7:17,1,"1,232","1,000",1,4/3/2023 7:16,0,0,0
