Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3891506,Service,12.377663359705304,12.377663359705306,22.687663359705304,10.309999999999999
1,2,3891506,3883528,Service,10.284649838837959,32.972313198543326,43.402313198543325,10.43
1,3,3883528,3881597,Service,10.27627778475449,53.678590983297816,64.09859098329781,10.419999999999995
1,4,3881597,3882067,Service,10.27069641536551,74.36928739866332,84.80595406532998,10.436666666666667
1,5,3882067,0,Return to Base,12.405570206650202,,,
2,1,0,3885384,Service,12.397198152566732,12.397198152566741,22.730531485900073,10.333333333333332
2,2,3885384,3886819,Service,10.284649838837959,33.01518132473804,43.43518132473804,10.420000000000002
2,3,3886819,3876811,Service,10.284649838837959,53.719831163576,64.04316449690934,10.323333333333338
2,4,3876811,3880323,Service,10.298603262310408,74.34176775921976,84.8051010925531,10.463333333333338
2,5,3880323,0,Return to Base,12.40836089134469,,,
