Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3891418,Service,10.616741317482244,10.616741317482251,21.953407984148917,11.336666666666666
1,2,3891418,3884733,Service,11.174878256380202,33.12828624052912,44.52401177180612,11.395725531277002
1,3,3884733,3891392,Service,11.194413049241632,55.71842482104776,67.15415035232476,11.435725531277
1,4,3891392,3881695,Service,11.21952921149204,78.37367956381681,89.7036795638168,11.329999999999998
1,5,3881695,0,Return to Base,10.611159948093265,,,
2,1,0,3882131,Service,10.619532002176735,10.619532002176722,21.977394767815223,11.357862765638501
2,2,3882131,3882130,Service,11.186040995158162,33.16343576297338,44.51129852861188,11.347862765638503
2,3,3882130,3882141,Service,11.177668941074693,55.688967469686574,67.0501635686584,11.361196098971831
2,4,3882141,3881701,Service,11.21394784210306,78.26411141076147,89.69650360870514,11.43239219794367
2,5,3881701,0,Return to Base,10.613950632787754,,,
