Operator,Task,Start,Finish,Successor
1,3874818,10.96557690429347,21.582243570960138,3894239
1,3874818,10.96557690429347,21.582243570960138,3894250
1,3894250,32.0566599690234,42.5966599690234,0
1,3894250,32.0566599690234,42.5966599690234,3894239
1,3894239,53.05991362730869,63.59991362730869,3874805
1,3894239,53.05991362730869,63.59991362730869,3874827
1,3874827,74.07433002437196,84.69099669103863,3874805
1,3874827,74.07433002437196,84.69099669103863,3874818
1,3874805,95.17657582687985,105.79324249354653,0
1,3874805,95.17657582687985,105.79324249354653,3874818
