CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3911722,3912172,194,373,91,328,1,131
3912172,3911722,402,426,246,426,1,131
3911722,3912353,194,373,246,426,1,59
3912353,3911722,402,426,246,426,1,59
3911722,3912345,194,373,126,199,1,184
3912345,3911722,384,424,246,426,1,184
3911722,3912355,194,373,246,426,1,59
3912355,3911722,402,426,246,426,1,59
3911722,3912177,194,373,260,483,1,114
3912177,3911722,1,230,246,426,1,114
3911722,3912364,194,373,242,416,1,55
3912364,3911722,401,419,246,426,1,55
3911722,3912363,194,373,91,328,1,131
3912363,3911722,402,426,246,426,1,131
3911722,3912180,194,373,133,472,1,0
3912180,3911722,1,230,246,426,1,0
3911722,3912369,194,373,131,194,1,190
3912369,3911722,373,411,246,426,1,190
3911722,3912378,194,373,242,416,1,55
3912378,3911722,1,230,246,426,1,55
3911722,3912382,194,373,91,328,1,131
3912382,3911722,401,419,246,426,1,131
3911722,3912387,194,373,242,416,1,55
3912387,3911722,1,230,246,426,1,55
3911722,3912391,194,373,242,416,1,55
3912391,3911722,1,230,246,426,1,55
3911722,3912309,194,373,214,225,1,158
3912309,3911722,144,391,246,426,1,158
3911722,3912394,194,373,242,416,1,55
3912394,3911722,401,419,246,426,1,55
3911722,3912401,194,373,242,416,1,55
3912401,3911722,401,419,246,426,1,55
3911722,3912310,194,373,204,225,1,149
3912310,3911722,144,391,246,426,1,149
3911722,3912405,194,373,242,416,1,55
3912405,3911722,1,230,246,426,1,55
3911722,3912397,194,373,91,328,1,131
3912397,3911722,401,419,246,426,1,131
3911722,3912409,194,373,242,416,1,55
3912409,3911722,401,419,246,426,1,55
3911722,3912426,194,373,303,476,1,158
3912426,3911722,348,444,246,426,1,158
3911722,3912425,194,373,242,416,1,55
3912425,3911722,1,230,246,426,1,55
3911722,3912431,194,373,91,328,1,131
3912431,3911722,401,419,246,426,1,131
3911722,3912439,194,373,80,475,1,210
3912439,3911722,230,454,246,426,1,210
3911722,3912440,194,373,204,225,1,149
3912440,3911722,144,391,246,426,1,149
3911722,3912467,194,373,242,416,1,55
3912467,3911722,1,230,246,426,1,55
3911722,3912469,194,373,91,328,1,131
3912469,3911722,401,419,246,426,1,131
3911722,3912460,194,373,110,193,1,204
3912460,3911722,359,403,246,426,1,204
3911722,3912358,194,373,246,426,1,59
3912358,3911722,1,230,246,426,1,59
3911722,3912449,194,373,156,334,1,58
3912449,3911722,402,427,246,426,1,58
3911722,3912487,194,373,80,475,1,210
3912487,3911722,230,454,246,426,1,210
3911722,3912361,194,373,246,426,1,59
3912361,3911722,1,230,246,426,1,59
3911722,3912367,194,373,246,426,1,59
3912367,3911722,1,230,246,426,1,59
3911722,3912455,194,373,103,193,1,212
3912455,3911722,356,403,246,426,1,212
3911722,3912510,194,373,156,334,1,58
3912510,3911722,402,427,246,426,1,58
3911722,3912513,194,373,242,416,1,55
3912513,3911722,1,230,246,426,1,55
3911722,3912525,194,373,242,416,1,55
3912525,3911722,1,230,246,426,1,55
3911722,3912458,194,373,110,170,1,0
3912458,3911722,362,408,246,426,1,0
3911722,3912526,194,373,242,416,1,55
3912526,3911722,1,230,246,426,1,55
3911722,3912461,194,373,390,394,1,202
3912461,3911722,356,403,246,426,1,202
3911722,3912493,194,373,390,394,1,202
3912493,3911722,356,412,246,426,1,202
3911722,3912534,194,373,156,334,1,58
3912534,3911722,402,427,246,426,1,58
3911722,3912541,194,373,242,416,1,55
3912541,3911722,402,426,246,426,1,55
3911722,3912465,194,373,107,185,1,217
3912465,3911722,356,412,246,426,1,217
3911722,3912547,194,373,242,416,1,55
3912547,3911722,212,368,246,426,1,55
3911722,3912553,194,373,242,416,1,55
3912553,3911722,348,441,246,426,1,55
