CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3913886,0,1,230,0,0,1,229
0,3913886,0,0,246,426,1,229
3913903,3913882,217,723,246,426,1,312
3913882,3913903,1,230,273,846,1,312
3913903,3913184,217,723,168,257,1,499
3913184,3913903,398,436,273,846,1,499
3913903,3913884,217,723,246,426,1,312
3913884,3913903,1,230,273,846,1,312
3913903,3913923,217,723,246,286,1,455
3913923,3913903,246,315,273,846,1,455
3913903,3913885,217,723,246,426,1,312
3913885,3913903,1,230,273,846,1,312
3913903,3913924,217,723,256,266,1,475
3913924,3913903,246,315,273,846,1,475
3913903,3913988,217,723,168,257,1,499
3913988,3913903,398,436,273,846,1,499
3913903,3913886,217,723,246,426,1,312
3913886,3913903,1,230,273,846,1,312
3913903,3913888,217,723,246,426,1,312
3913888,3913903,1,230,273,846,1,312
3913903,0,217,723,0,0,1,728
0,3913903,0,0,273,846,1,728
3913888,3913882,1,230,246,426,1,278
3913882,3913888,1,230,246,426,1,278
3913888,3913184,1,230,168,257,1,279
3913184,3913888,398,436,246,426,1,279
3913888,3913884,1,230,246,426,1,278
3913884,3913888,1,230,246,426,1,278
3913888,3913923,1,230,246,286,1,240
3913923,3913888,246,315,246,426,1,240
3913888,3913885,1,230,246,426,1,278
3913885,3913888,1,230,246,426,1,278
3913888,3913924,1,230,256,266,1,370
3913924,3913888,246,315,246,426,1,370
3913888,3913988,1,230,168,257,1,279
3913988,3913888,398,436,246,426,1,279
3913888,3913886,1,230,246,426,1,278
3913886,3913888,1,230,246,426,1,278
3913888,3913903,1,230,273,846,1,761
3913903,3913888,217,723,246,426,1,761
3913888,0,1,230,0,0,1,229
0,3913888,0,0,246,426,1,229
0,3913882,0,0,246,426,1,430
3913882,0,1,230,0,0,1,430
0,3913184,0,0,168,257,1,265
3913184,0,398,436,0,0,1,265
0,3913884,0,0,246,426,1,430
3913884,0,1,230,0,0,1,430
0,3913923,0,0,246,286,1,293
3913923,0,246,315,0,0,1,293
0,3913885,0,0,246,426,1,430
3913885,0,1,230,0,0,1,430
0,3913924,0,0,256,266,1,328
3913924,0,246,315,0,0,1,328
0,3913988,0,0,168,257,1,265
3913988,0,398,436,0,0,1,265
0,3913886,0,0,246,426,1,430
3913886,0,1,230,0,0,1,430
0,3913903,0,0,273,846,1,933
3913903,0,217,723,0,0,1,933
0,3913888,0,0,246,426,1,430
3913888,0,1,230,0,0,1,430
