Operator,Task,Start,Finish,Successor
1,3914105,1.7763568394002505e-15,10.433333333333335,3913305
1,3913305,20.743099334421707,31.09309933442171,3914085
1,3914085,41.397283966121094,51.97061729945443,3914831
1,3914831,62.28317398523729,72.61984065190396,3914067
1,3914067,82.91844391421434,93.33511058088101,0
2,3914763,0.0,10.47,3914752
2,3914752,20.793719424560813,31.12705275789415,3912684
2,3912684,41.459144236538435,51.8058109032051,3913232
2,3913232,62.13232101246041,72.47898767912707,3913695
2,3913695,82.79154436490992,93.32154436490993,0
