Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3913175,Service,10.0,0.0,11.22,11.22
1,2,3913175,3913173,Service,10.842786777735917,22.062786777735916,33.242786777735915,11.18
1,3,3913173,3913590,Service,10.68650843484449,43.92929521258039,54.919295212580394,10.990000000000002
1,4,3913590,3913176,Service,10.736740759345306,65.6560359719257,76.88936930525904,11.233333333333334
1,5,3913176,0,Return to Base,10.0,,,
2,1,0,3913363,Service,11.439993302356733,0.0,11.313333333333333,11.313333333333333
2,2,3913363,3913656,Service,11.049297445128161,22.362630778461497,33.60929744512816,11.246666666666666
2,3,3913656,3913567,Service,10.987902381849386,44.597199826977544,55.81719982697754,11.219999999999999
2,4,3913567,0,Return to Base,10.0,,,
