Operator,Task,Start,Finish,Successor
1,3871472,0.0,10.176666666666666,3871541
1,3871541,20.324572955474608,30.501239622141274,3871921
1,3871921,40.649145910949215,50.82581257761588,3871545
1,3871545,60.97371886642382,71.15038553309049,3872165
1,3872165,81.29829182189843,91.4749584885651,0
2,3872140,0.0,10.176666666666666,3872119
2,3872119,20.324572955474608,30.501239622141274,3872134
2,3872134,40.649145910949215,50.82581257761588,3872180
2,3872180,60.97371886642382,71.15038553309049,3871527
2,3871527,81.29829182189843,91.4749584885651,0
