Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3872541,Service,10.574881047064897,0.0,10.783717948717948,10.783717948717948
1,2,3872541,3886995,Service,10.572090362370407,21.35580831108836,31.959141644421692,10.603333333333332
1,3,3886995,3895366,Service,10.519067353175101,42.478208997596795,53.27526027964808,10.797051282051285
1,4,3895366,0,Return to Base,10.488369821535713,,,
2,1,0,3882182,Service,10.527439407258571,0.0,10.840384615384615,10.840384615384615
2,2,3882182,3873637,Service,10.479997767452245,21.32038238283684,31.92038238283684,10.600000000000001
2,3,3873637,3880937,Service,10.479997767452245,42.40038015028907,53.153713483622404,10.753333333333337
2,4,3880937,0,Return to Base,10.53860214603653,,,
