Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3879074,Service,11.462318779912652,0.0,10.79,10.79
1,2,3879074,3881655,Service,10.605578578704286,21.39557857870428,32.30247291059224,10.906894331887962
1,3,3881655,3873558,Service,10.602787894009795,42.90526080460204,52.90526080460204,10.0
1,4,3873558,3888277,Service,10.558136938897958,63.463397743499996,74.18673107683333,10.72333333333333
1,5,3888277,3878747,Service,10.560927623592448,84.74765870042577,94.74765870042577,10.0
1,6,3878747,0,Return to Base,11.462318779912652,,,
