Operator,Task,Start,Finish,Successor
1,3895241,0.0,10.733333333333333,3895103
1,3895103,21.417051083483344,32.15038441681668,3895251
1,3895251,42.83410216696669,53.56743550030002,3895228
1,3895228,64.25115325045003,74.98448658378337,0
2,3895165,0.0,10.733333333333333,3895215
2,3895215,21.417051083483344,32.15038441681668,3895179
2,3895179,42.83410216696669,53.56743550030002,3895121
2,3895121,64.25115325045003,74.98448658378337,0
3,3895157,0.0,10.733333333333333,3895139
3,3895139,21.417051083483344,32.15038441681668,0
