Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3884351,Service,11.174878256380202,0.0,10.673333333333334,10.673333333333334
1,2,3884351,3884415,Service,10.454881605201836,21.128214936560855,31.774881603201653,10.646666666640797
1,3,3884415,3881012,Service,10.454881605201836,42.2297632084035,52.889763208403494,10.659999999999997
1,4,3881012,3884220,Service,10.454881605201836,63.34464481360534,73.991311480272,10.646666666666661
1,5,3884220,3881138,Service,10.454881605201836,84.44619308547385,95.09619308547386,10.650000000000006
1,6,3881138,3890600,Service,10.505113929702652,105.6013070151765,116.3413070151765,10.739999999999995
1,7,3890600,0,Return to Base,11.174878256380202,,,
