Operator,Task,Start,Finish,Successor
1,3913190,0.0,10.196666666666667,3913249
1,3913249,20.30550336975176,30.49550336975176,3913167
1,3913167,40.60434007283687,50.801006739503535,3913290
1,3913290,60.90984344258864,71.09984344258864,3913226
1,3913226,81.20868014567374,91.40534681234041,0
2,3913220,0.0,10.196666666666667,3913295
2,3913295,20.30550336975176,30.49550336975176,3913161
2,3913161,40.60434007283687,50.801006739503535,3913278
2,3913278,60.90984344258864,71.09984344258864,3913199
2,3913199,81.20868014567374,91.40534681234041,0
