Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3912185,Service,20.906972525709183,0.0,15.986666666666666,15.986666666666666
1,2,3912185,3912171,Service,6.015809228794285,22.00247589546096,37.989142562127626,15.986666666666665
1,3,3912171,3912628,Service,5.890228417542244,43.87937097966986,49.82937097966986,5.950000000000003
1,4,3912628,0,Return to Base,15.915344579792652,,,
2,1,0,3912193,Service,10.906972525709183,0.0,5.986666666666666,5.986666666666666
2,2,3912193,3912659,Service,5.890228417542244,11.876895084208869,17.826895084208868,5.949999999999999
2,3,3912659,3912614,Service,20.859530885902856,38.68642597011174,54.636425970111745,15.950000000000003
2,4,3912614,3912645,Service,5.859530885902856,60.495956856014615,66.44595685601462,5.950000000000003
2,5,3912645,0,Return to Base,5.915344579792652,,,
