Operator,Task,Start,Finish,Successor
1,3911753,0.0,10.66,3911750
1,3911750,21.41069418281776,32.07069418281776,3911722
1,3911722,42.821388365635535,53.0180550323022,0
2,3911742,0.0,10.196666666666667,3911746
2,3911746,20.36131706364158,30.557983730308244,3911733
2,3911733,40.72263412728316,50.91930079394982,3911740
2,3911740,61.08395119092472,71.42728452425806,0
3,3911727,0.0,10.196666666666667,3911755
3,3911755,20.94736084948443,31.60736084948443,3911757
3,3911757,42.35805503230219,53.01805503230219,0
