Operator,Task,Start,Finish,Successor
1,3913422,0.0,10.073333333333334,3913378
1,3913378,15.134728396612102,25.208061729945435,3913484
1,3913484,30.314107748336035,35.5007744150027,0
2,3913464,0.0,20.186666666666667,3913391
2,3913391,30.292712685057268,40.366046018390605,0
3,3912866,0.0,10.146666666666667,3913454
3,3913454,15.208061729945442,20.281395063278776,0
4,3913449,0.0,5.186666666666653,3913452
4,3913452,10.292712685057253,20.47937935172392,3913358
4,3913358,25.58542537011452,35.65875870344786,0
