Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3913642,Service,11.199994418630611,-1.7763568394002505e-15,11.223333333333331,11.223333333333333
1,2,3913642,3915030,Service,10.775810345068162,21.999143678401477,33.22247701173481,11.223333333333333
1,3,3915030,3913639,Service,10.775810345068162,43.99828735680296,55.22162069013629,11.22333333333333
1,4,3913639,0,Return to Base,11.199994418630611,,,
2,1,0,3914129,Service,11.199994418630611,0.0,11.223333333333333,11.223333333333333
2,2,3914129,3914943,Service,10.775810345068162,21.999143678401477,33.22247701173481,11.223333333333333
2,3,3914943,3913727,Service,10.775810345068162,43.99828735680296,55.22162069013629,11.22333333333333
2,4,3913727,0,Return to Base,11.199994418630611,,,
3,1,0,3914898,Service,11.199994418630611,-1.7763568394002505e-15,11.223333333333331,11.223333333333333
3,2,3914898,3915001,Service,10.775810345068162,21.999143678401477,33.22247701173481,11.223333333333333
3,3,3915001,3914949,Service,10.775810345068162,43.99828735680296,55.22162069013629,11.22333333333333
3,4,3914949,0,Return to Base,11.199994418630611,,,
