CD_ORDER,CD_MISSION,NM_PRIORITY,TP_MISSION,DSC_MISSION,UDC,OID_STACKED_UDC,OID_FORKLIFT,FROM_X,FROM_Y,FROM_Z,AREA_FROM,TP_AREA_FROM,DSC_AREA_FROM,BEAM_FROM,AREA_TO,TP_AREA_TO,DSC_AREA_TO,BEAM_TO,TO_X,TO_Y,TO_Z,DT_INSERT,DT_START,DT_UPDATE,DIFF,OID_ORDER_R_BEAM,OID_ORDER,OID_ORDER_R,OID_ARTICLE,OID_BATCH,QTY_TO_PICK,NM_ENTIRE,NM_TOTAL,CD_ARTICLE,DSC_ARTICLE,WEIGHT,HEIGHT,TP_UDC,DT_READY_TO_GO,DIFF_READY_TO_GO,DISTANCE
2562116829,"3,872,724",6,94,POSIZIONAMENTO DA PREBOX A BDP,1,"3,766,122",3,390,393,0,0000000000,STOCK,0000000000,-,M3-CL-08,S_CANT,Cantilever M3,-,361,434,3227,10/21/2022 14:13:37,10/21/2022 14:14:35,10/21/2022 14:16:28,2,"1,375,810","1,301,897",0,0,0,0,2,2,,,,,,10/21/2022 14:15:19,1,71
2562116001,"3,871,677",6,94,POSIZIONAMENTO DA PREBOX A BDP,1,"3,766,874",3,390,393,0,0000000000,STOCK,0000000000,-,M3-CL-07,S_CANT,Cantilever M3,-,357,429,3197,10/21/2022 06:58:40,10/21/2022 19:07:27,10/21/2022 19:09:13,2,"1,375,787","1,300,947",0,0,0,0,1,1,,,,,,10/21/2022 19:08:04,1,74
2562117736,"3,873,646",6,94,POSIZIONAMENTO DA PREBOX A BDP,1,"3,770,343",65,390,394,0,0000000000,STOCK,0000000000,-,M3-CL-09,S_CANT,Cantilever M3,-,355,437,3202,10/21/2022 19:49:03,10/24/2022 07:03:35,10/24/2022 07:05:56,2,"1,376,374","1,302,975",0,0,0,0,1,1,,,,,,10/24/2022 07:04:24,1,75
2562117952,"3,882,216",6,94,POSIZIONAMENTO DA PREBOX A BDP,1,"3,777,798",86,390,393,0,0000000000,STOCK,0000000000,-,M3-CL-07,S_CANT,Cantilever M3,-,363,428,3197,10/25/2022 18:54:14,10/26/2022 14:20:33,10/26/2022 14:23:06,3,"1,378,739","1,303,119",0,0,0,0,1,1,,,,,,10/26/2022 14:21:49,1,75
2562119715,"3,888,326",6,94,POSIZIONAMENTO DA PREBOX A BDP,1,"3,782,800",86,390,393,0,0000000000,STOCK,0000000000,-,M3-CL-08,S_CANT,Cantilever M3,-,357,434,3227,10/27/2022 17:12:42,10/28/2022 10:57:25,10/28/2022 10:59:38,2,"1,380,704","1,305,085",0,0,0,0,4,4,,,,,,10/28/2022 10:58:18,1,77
2562119715,"3,890,111",6,94,POSIZIONAMENTO DA PREBOX A BDP,1,"3,782,805",86,390,393,0,0000000000,STOCK,0000000000,-,M3-CL-08,S_CANT,Cantilever M3,-,361,434,3227,10/28/2022 10:58:34,10/28/2022 10:59:39,10/28/2022 11:01:30,2,"1,380,704","1,305,085",0,0,0,0,4,4,,,,,,10/28/2022 11:00:26,1,71
2562119715,"3,890,201",6,94,POSIZIONAMENTO DA PREBOX A BDP,1,"3,782,878",86,390,392,0,0000000000,STOCK,0000000000,-,M3-CL-08,S_CANT,Cantilever M3,-,357,434,3227,10/28/2022 11:33:34,10/28/2022 11:34:55,10/28/2022 11:37:14,2,"1,380,704","1,305,085",0,0,0,0,4,4,,,,,,10/28/2022 11:35:54,1,78
