CD_ORDER,CD_MISSION,NM_PRIORITY,TP_MISSION,DSC_MISSION,UDC,OID_STACKED_UDC,OID_FORKLIFT,FROM_X,FROM_Y,FROM_Z,AREA_FROM,TP_AREA_FROM,DSC_AREA_FROM,BEAM_FROM,AREA_TO,TP_AREA_TO,DSC_AREA_TO,BEAM_TO,TO_X,TO_Y,TO_Z,DT_INSERT,DT_START,DT_UPDATE,DIFF,OID_ORDER_R_BEAM,OID_ORDER,OID_ORDER_R,OID_ARTICLE,OID_BATCH,QTY_TO_PICK,NM_ENTIRE,NM_TOTAL,CD_ARTICLE,DSC_ARTICLE,WEIGHT,HEIGHT,TP_UDC,DT_READY_TO_GO,DIFF_READY_TO_GO,DISTANCE
2562116133,"3,871,544",6,60,POSIZIONAMENTO INTERI,1,"3,765,142",35,271,280,0,M0-B70-02,STOCK,PIAZZALE NUOVO,33,M3-BO-160,S_CA,BOX PRONTI CAMION,8,276,415,0,10/21/2022 06:19:31,10/21/2022 06:22:08,10/21/2022 06:27:00,5,"1,375,661","1,301,143","40,274,808","1,485,646","458,459",0,3,3,761692,ETOILE GRIS MAT 60x60 RET,"2,527",,1,10/21/2022 06:24:18,2,134
2562116133,"3,871,565",6,60,POSIZIONAMENTO INTERI,1,"3,765,154",35,271,280,0,M0-B70-02,STOCK,PIAZZALE NUOVO,33,M3-BO-160,S_CA,BOX PRONTI CAMION,8,276,415,0,10/21/2022 06:24:27,10/21/2022 06:27:02,10/21/2022 06:33:37,7,"1,375,661","1,301,143","40,274,808","1,485,646","458,459",0,3,3,761692,ETOILE GRIS MAT 60x60 RET,"2,527",,1,10/21/2022 06:29:33,3,134
2562118372,"3,880,596",6,60,POSIZIONAMENTO INTERI,1,"3,773,759",59,275,279,0,M0-B70-00,STOCK,PIAZZALE NUOVO,5,M3-BO-130,S_CA,BOX PRONTI CAMION,30,270,446,0,10/25/2022 09:37:52,10/25/2022 09:39:50,10/25/2022 09:43:09,3,"1,377,868","1,303,560","40,278,994","807,983","447,500",0,14,14,751915,I CLASSICI MARQUINIA MATTE 80X80 RETT,"2,181",,1,10/25/2022 09:41:05,1,182
2562111220,"3,884,609",6,60,POSIZIONAMENTO INTERI,2,"3,777,840",59,263,263,0,M0-B90-02,STOCK,PIAZZALE NUOVO,16,M3-BO-130,S_CA,BOX PRONTI CAMION,26,270,440,0,10/26/2022 14:13:28,10/26/2022 14:28:35,10/26/2022 14:35:34,7,"1,379,423","1,295,737","40,265,507","2,470,204","359,256",0,5,5,773336,ATMOSPHERES HARMO PAT SMOOTH 60X120 RET,"1,909",,1,10/26/2022 14:33:10,5,186
