CD_ORDER,CD_MISSION,NM_PRIORITY,TP_MISSION,DSC_MISSION,UDC,OID_STACKED_UDC,OID_FORKLIFT,FROM_X,FROM_Y,FROM_Z,AREA_FROM,TP_AREA_FROM,DSC_AREA_FROM,BEAM_FROM,AREA_TO,TP_AREA_TO,DSC_AREA_TO,BEAM_TO,TO_X,TO_Y,TO_Z,DT_INSERT,DT_START,DT_UPDATE,DIFF,OID_ORDER_R_BEAM,OID_ORDER,OID_ORDER_R,OID_ARTICLE,OID_BATCH,QTY_TO_PICK,NM_ENTIRE,NM_TOTAL,CD_ARTICLE,DSC_ARTICLE,WEIGHT,HEIGHT,TP_UDC,DT_READY_TO_GO,DIFF_READY_TO_GO,DISTANCE
2562116133,"3,871,418",6,60,POSIZIONAMENTO INTERI,2,"3,765,013",63,322,479,0,M3-44A-90,STOCK,PIAZZALE LATO NORD,8,M3-BO-500,S_CA,BOX PRONTI CAMION,8,406,425,0,10/21/2022 05:36:00,10/21/2022 05:39:17,10/21/2022 05:43:57,5,"1,375,654","1,301,143","40,274,805","814,624","458,638",0,6,6,752204,RAWTECH RAW-WHITE NAT 30X60 RET,"5,003",,1,10/21/2022 05:41:14,2,154
2562116133,"3,871,432",6,60,POSIZIONAMENTO INTERI,2,"3,765,024",63,322,479,0,M3-44A-90,STOCK,PIAZZALE LATO NORD,8,M3-BO-500,S_CA,BOX PRONTI CAMION,8,406,425,0,10/21/2022 05:41:18,10/21/2022 05:44:00,10/21/2022 05:47:36,4,"1,375,654","1,301,143","40,274,805","814,624","458,638",0,6,6,752204,RAWTECH RAW-WHITE NAT 30X60 RET,"5,003",,1,10/21/2022 05:45:56,2,154
2562117006,"3,873,105",8,60,POSIZIONAMENTO INTERI,2,"3,766,571",93,314,479,0,M3-46A-90,STOCK,PIAZZALE LATO NORD,2,M3-BO-480,S_CA,BOX PRONTI CAMION,14,402,426,0,10/21/2022 17:15:55,10/21/2022 17:18:47,10/21/2022 17:24:11,5,"1,375,721","1,302,079","40,276,555","814,624","458,630",0,8,8,752204,RAWTECH RAW-WHITE NAT 30X60 RET,"5,119",,1,10/21/2022 17:20:34,2,150
2562117006,"3,873,116",8,60,POSIZIONAMENTO INTERI,2,"3,766,592",93,314,479,0,M3-46A-90,STOCK,PIAZZALE LATO NORD,2,M3-BO-480,S_CA,BOX PRONTI CAMION,14,402,426,0,10/21/2022 17:20:39,10/21/2022 17:24:15,10/21/2022 17:28:52,5,"1,375,721","1,302,079","40,276,555","814,624","458,630",0,8,8,752204,RAWTECH RAW-WHITE NAT 30X60 RET,"5,119",,1,10/21/2022 17:26:26,2,150
2562117006,"3,873,136",8,60,POSIZIONAMENTO INTERI,2,"3,766,610",93,314,479,0,M3-46A-90,STOCK,PIAZZALE LATO NORD,2,M3-BO-480,S_CA,BOX PRONTI CAMION,14,402,426,0,10/21/2022 17:26:34,10/21/2022 17:28:54,10/21/2022 17:33:34,5,"1,375,721","1,302,079","40,276,555","814,624","458,630",0,8,8,752204,RAWTECH RAW-WHITE NAT 30X60 RET,"5,119",,1,10/21/2022 17:31:44,3,150
2562120160,"3,889,516",6,60,POSIZIONAMENTO INTERI,2,"3,782,213",63,315,461,0,M3-44B-02,STOCK,PIAZZALE LATO NORD,4,M3-BO-460,S_CA,BOX PRONTI CAMION,11,397,422,0,10/28/2022 06:23:39,10/28/2022 06:24:23,10/28/2022 06:26:55,3,"1,380,786","1,305,583","40,282,417","1,146,035","413,438",0,30,30,755611,PLANCHES DE REX NOISETTE 20X120 RET,"4,516",,1,10/28/2022 06:25:41,1,133
