Operator,Task,Start,Finish,Successor
1,3911727,0.0,5.196666666666666,3911733
1,3911727,0.0,5.196666666666666,3912159
1,3911733,0.0,5.141598867209062,3912159
1,3911753,0.0,5.660000000000029,3911677
1,3911772,0.0,5.66,3911766
1,3911779,0.0,5.66,3911835
1,3911782,0.0,5.475196198430413,3911727
1,3911675,0.0,5.456666666666667,3911746
1,3911677,0.0,5.26639786881705,3911666
1,3911841,0.0,5.475196198430413,3911722
1,3911908,0.0,5.363333333333333,3911987
1,3912169,0.0,5.25,0
1,3912169,0.0,5.25,3911753
1,3912171,0.0,5.710394316845465,3911841
2,3911941,0.0,5.417763448790307,0
3,3911908,0.0,5.363333333333333,0
4,3911742,0.0,5.196666666666666,0
5,3911795,0.0,5.25,0
6,3911740,0.0,5.343333333333334,0
7,3911753,0.0,5.660000000000029,0
8,3911667,0.0,5.296666666666667,0
9,3911668,0.0,5.363333333333317,0
10,3911727,0.0,5.196666666666666,0
11,3911835,0.0,5.729999999999969,0
12,3911987,0.0,5.25,0
13,3911794,0.0,5.319999999999987,0
14,3911675,0.0,5.456666666666667,0
15,3911852,0.0,5.369999999999952,0
16,3911666,0.0,5.346666666666667,0
17,3911772,0.0,5.66,0
18,3911779,0.0,5.66,0
19,3911829,0.0,5.346666666666667,0
20,3911757,0.0,5.66,0
21,3911834,0.0,5.346666666666667,0
22,3911673,0.0,5.3,0
23,3912159,0.0,5.163333333333333,0
24,3911761,0.0,5.66,0
25,3911755,0.0,5.66,0
26,3912139,0.0,5.88079295365637,0
27,3912122,0.0,5.88079295365637,0
28,3911660,0.08399932800537524,5.88079295365637,0
29,3912136,0.0,5.88079295365637,0
30,3911794,0.0,5.319999999999987,3912139
30,3912104,0.0,5.796793625650995,3911794
30,3912182,0.0,5.88079295365637,0
31,3911746,0.0,5.141598867209062,3911755
31,3911841,0.0,5.475196198430413,0
31,3911662,0.0,5.710394316845338,3911795
32,3911761,0.0,5.66,3911772
32,3911766,0.0,5.475196198430413,3912182
32,3911770,0.0,5.230398156814745,3911841
32,3911808,0.0,5.1799985600114775,0
32,3911808,0.0,5.1799985600114775,3912139
32,3912139,0.0,5.88079295365637,3911673
32,3912162,0.0,5.117599059207526,3912136
32,3911662,0.0,5.710394316845338,3911808
32,3912182,0.0,5.88079295365637,3911930
33,3911744,0.0,5.247198022415805,3912136
33,3911770,0.0,5.230398156814745,0
33,3912132,0.0,5.88079295365637,3911744
33,3912136,0.0,5.88079295365637,0
33,3912166,0.0,5.88079295365637,3912182
33,3912171,0.0,5.710394316845465,3911662
33,3912182,0.0,5.88079295365637,3912166
34,3911733,0.0,5.141598867209062,0
34,3911794,0.0,5.319999999999987,3911668
34,3911835,0.0,5.729999999999969,3912122
34,3911841,0.0,5.475196198430413,3911835
34,3912122,0.0,5.88079295365637,3911755
34,3911660,0.08399932800537524,5.88079295365637,3912136
35,3912166,0.0,5.88079295365637,0
36,3911750,0.0,5.475196198430413,0
37,3911746,0.0,5.141598867209062,0
38,3911722,0.0,5.141598867209062,0
39,3911930,0.0,5.652874142980188,0
40,3912143,0.0,5.17999856001152,0
41,3911827,0.0,5.525595795233638,0
42,3911733,0.0,5.141598867209062,0
42,3911677,0.0,5.26639786881705,0
42,3911841,0.0,5.475196198430413,3912139
42,3911673,0.0,5.3,3911660
42,3912136,0.0,5.88079295365637,3911841
42,3912166,0.0,5.88079295365637,3912132
42,3911660,0.08399932800537524,5.88079295365637,3911987
43,3912171,0.0,5.710394316845465,0
44,3911782,0.0,5.475196198430413,0
45,3911744,0.0,5.247198022415805,0
45,3911808,0.0,5.1799985600114775,3911766
45,3911852,0.0,5.369999999999952,3911660
45,3911673,0.0,5.3,3911662
45,3912136,0.0,5.88079295365637,3911808
45,3911662,0.0,5.710394316845338,3911852
46,3911766,0.0,5.475196198430413,0
46,3911841,0.0,5.475196198430413,3911668
46,3911668,0.0,5.363333333333317,3912166
46,3912104,0.0,5.796793625650995,3912182
46,3912182,0.0,5.88079295365637,3912104
47,3912132,0.0,5.88079295365637,0
48,3912104,0.0,5.796793625650995,0
49,3912162,0.0,5.117599059207526,0
50,3911662,0.0,5.710394316845338,0
