Operator,Task,Start,Finish,Successor
1,3911795,0.0,5.25,0
2,3911750,0.0,5.66,0
3,3911779,0.0,5.66,0
4,3911746,0.0,5.196666666666666,0
5,3911722,0.0,5.196666666666666,0
6,3911742,0.0,5.196666666666666,0
7,3911755,0.0,5.66,0
8,3911794,0.0,5.32,0
9,3911772,0.0,5.66,0
10,3911761,0.0,5.66,0
11,3911770,0.0,5.32,0
12,3911727,0.0,5.196666666666666,0
13,3911782,0.0,5.66,0
14,3911733,0.0,5.196666666666666,0
15,3911757,0.0,5.66,0
16,3911666,0.31333333333333346,5.66,0
17,3911753,0.0,5.66,0
18,3911744,0.0,5.343333333333334,0
19,3911766,0.0,5.66,0
20,3911740,0.0,5.343333333333334,0
