Operator,Task,Start,Finish,Successor
1,3911727,11.19999441863061,21.396661085297275,3911722
1,3911722,31.56131148227218,41.75797814893885,0
2,3911740,10.96557690429347,21.308910237626804,3911750
2,3911750,31.90611676224762,42.56611676224762,0
3,3911742,11.19999441863061,21.396661085297275,3911733
3,3911733,31.56131148227218,41.75797814893885,0
4,3912155,10.0,21.10666666666667,3911755
4,3911755,31.740152092315853,42.40015209231585,0
5,3911746,11.19999441863061,21.396661085297275,3911753
5,3911753,32.14735526811504,42.807355268115046,0
