CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3912136,3912139,1,230,246,426,1,278
3912139,3912136,1,230,246,426,1,278
3912136,3912143,1,230,246,426,1,278
3912143,3912136,241,369,246,426,1,278
3912136,3912159,1,230,246,426,1,278
3912159,3912136,237,375,246,426,1,278
3912136,3912162,1,230,246,426,1,278
3912162,3912136,237,375,246,426,1,278
3912136,3911662,1,230,104,319,1,126
3911662,3912136,344,444,246,426,1,126
3912136,3912166,1,230,246,426,1,278
3912166,3912136,1,230,246,426,1,278
3912136,3912169,1,230,246,426,1,278
3912169,3912136,241,369,246,426,1,278
3912136,3912171,1,230,104,319,1,126
3912171,3912136,344,444,246,426,1,126
3912136,3912182,1,230,246,426,1,278
3912182,3912136,1,230,246,426,1,278
3912136,0,1,230,0,0,1,229
0,3912136,0,0,246,426,1,229
3912139,3912136,1,230,246,426,1,278
3912136,3912139,1,230,246,426,1,278
3912139,3912143,1,230,246,426,1,278
3912143,3912139,241,369,246,426,1,278
3912139,3912159,1,230,246,426,1,278
3912159,3912139,237,375,246,426,1,278
3912139,3912162,1,230,246,426,1,278
3912162,3912139,237,375,246,426,1,278
3912139,3911662,1,230,104,319,1,126
3911662,3912139,344,444,246,426,1,126
3912139,3912166,1,230,246,426,1,278
3912166,3912139,1,230,246,426,1,278
3912139,3912169,1,230,246,426,1,278
3912169,3912139,241,369,246,426,1,278
3912139,3912171,1,230,104,319,1,126
3912171,3912139,344,444,246,426,1,126
3912139,3912182,1,230,246,426,1,278
3912182,3912139,1,230,246,426,1,278
3912139,0,1,230,0,0,1,229
0,3912139,0,0,246,426,1,229
3912143,3912136,241,369,246,426,1,75
3912136,3912143,1,230,246,426,1,75
3912143,3912139,241,369,246,426,1,75
3912139,3912143,1,230,246,426,1,75
3912143,3912159,241,369,246,426,1,75
3912159,3912143,237,375,246,426,1,75
3912143,3912162,241,369,246,426,1,75
3912162,3912143,237,375,246,426,1,75
3912143,3911662,241,369,104,319,1,215
3911662,3912143,344,444,246,426,1,215
3912143,3912166,241,369,246,426,1,75
3912166,3912143,1,230,246,426,1,75
3912143,3912169,241,369,246,426,1,75
3912169,3912143,241,369,246,426,1,75
3912143,3912171,241,369,104,319,1,215
3912171,3912143,344,444,246,426,1,215
3912143,3912182,241,369,246,426,1,75
3912182,3912143,1,230,246,426,1,75
3912143,0,241,369,0,0,1,409
0,3912143,0,0,246,426,1,409
3912159,3912136,237,375,246,426,1,48
3912136,3912159,1,230,246,426,1,48
3912159,3912139,237,375,246,426,1,48
3912139,3912159,1,230,246,426,1,48
3912159,3912143,237,375,246,426,1,48
3912143,3912159,241,369,246,426,1,48
3912159,3912162,237,375,246,426,1,48
3912162,3912159,237,375,246,426,1,48
3912159,3911662,237,375,104,319,1,221
3911662,3912159,344,444,246,426,1,221
3912159,3912166,237,375,246,426,1,48
3912166,3912159,1,230,246,426,1,48
3912159,3912169,237,375,246,426,1,48
3912169,3912159,241,369,246,426,1,48
3912159,3912171,237,375,104,319,1,221
3912171,3912159,344,444,246,426,1,221
3912159,3912182,237,375,246,426,1,48
3912182,3912159,1,230,246,426,1,48
3912159,0,237,375,0,0,1,415
0,3912159,0,0,246,426,1,415
3912162,3912136,237,375,246,426,1,48
3912136,3912162,1,230,246,426,1,48
3912162,3912139,237,375,246,426,1,48
3912139,3912162,1,230,246,426,1,48
3912162,3912143,237,375,246,426,1,48
3912143,3912162,241,369,246,426,1,48
3912162,3912159,237,375,246,426,1,48
3912159,3912162,237,375,246,426,1,48
3912162,3911662,237,375,104,319,1,221
3911662,3912162,344,444,246,426,1,221
3912162,3912166,237,375,246,426,1,48
3912166,3912162,1,230,246,426,1,48
3912162,3912169,237,375,246,426,1,48
3912169,3912162,241,369,246,426,1,48
3912162,3912171,237,375,104,319,1,221
3912171,3912162,344,444,246,426,1,221
3912162,3912182,237,375,246,426,1,48
3912182,3912162,1,230,246,426,1,48
3912162,0,237,375,0,0,1,415
0,3912162,0,0,246,426,1,415
3911662,3912136,344,444,246,426,1,109
3912136,3911662,1,230,104,319,1,109
3911662,3912139,344,444,246,426,1,109
3912139,3911662,1,230,104,319,1,109
3911662,3912143,344,444,246,426,1,109
3912143,3911662,241,369,104,319,1,109
3911662,3912159,344,444,246,426,1,109
3912159,3911662,237,375,104,319,1,109
3911662,3912162,344,444,246,426,1,109
3912162,3911662,237,375,104,319,1,109
3911662,3912166,344,444,246,426,1,109
3912166,3911662,1,230,104,319,1,109
3911662,3912169,344,444,246,426,1,109
3912169,3911662,241,369,104,319,1,109
3911662,3912171,344,444,104,319,1,364
3912171,3911662,344,444,104,319,1,364
3911662,3912182,344,444,246,426,1,109
3912182,3911662,1,230,104,319,1,109
3911662,0,344,444,0,0,1,557
0,3911662,0,0,104,319,1,557
3912166,3912136,1,230,246,426,1,278
3912136,3912166,1,230,246,426,1,278
3912166,3912139,1,230,246,426,1,278
3912139,3912166,1,230,246,426,1,278
3912166,3912143,1,230,246,426,1,278
3912143,3912166,241,369,246,426,1,278
3912166,3912159,1,230,246,426,1,278
3912159,3912166,237,375,246,426,1,278
3912166,3912162,1,230,246,426,1,278
3912162,3912166,237,375,246,426,1,278
3912166,3911662,1,230,104,319,1,126
3911662,3912166,344,444,246,426,1,126
3912166,3912169,1,230,246,426,1,278
3912169,3912166,241,369,246,426,1,278
3912166,3912171,1,230,104,319,1,126
3912171,3912166,344,444,246,426,1,126
3912166,3912182,1,230,246,426,1,278
3912182,3912166,1,230,246,426,1,278
3912166,0,1,230,0,0,1,229
0,3912166,0,0,246,426,1,229
3912169,3912136,241,369,246,426,1,75
3912136,3912169,1,230,246,426,1,75
3912169,3912139,241,369,246,426,1,75
3912139,3912169,1,230,246,426,1,75
3912169,3912143,241,369,246,426,1,75
3912143,3912169,241,369,246,426,1,75
3912169,3912159,241,369,246,426,1,75
3912159,3912169,237,375,246,426,1,75
3912169,3912162,241,369,246,426,1,75
3912162,3912169,237,375,246,426,1,75
3912169,3911662,241,369,104,319,1,215
3911662,3912169,344,444,246,426,1,215
3912169,3912166,241,369,246,426,1,75
3912166,3912169,1,230,246,426,1,75
3912169,3912171,241,369,104,319,1,215
3912171,3912169,344,444,246,426,1,215
3912169,3912182,241,369,246,426,1,75
3912182,3912169,1,230,246,426,1,75
3912169,0,241,369,0,0,1,409
0,3912169,0,0,246,426,1,409
3912171,3912136,344,444,246,426,1,109
3912136,3912171,1,230,104,319,1,109
3912171,3912139,344,444,246,426,1,109
3912139,3912171,1,230,104,319,1,109
3912171,3912143,344,444,246,426,1,109
3912143,3912171,241,369,104,319,1,109
3912171,3912159,344,444,246,426,1,109
3912159,3912171,237,375,104,319,1,109
3912171,3912162,344,444,246,426,1,109
3912162,3912171,237,375,104,319,1,109
3912171,3911662,344,444,104,319,1,364
3911662,3912171,344,444,104,319,1,364
3912171,3912166,344,444,246,426,1,109
3912166,3912171,1,230,104,319,1,109
3912171,3912169,344,444,246,426,1,109
3912169,3912171,241,369,104,319,1,109
3912171,3912182,344,444,246,426,1,109
3912182,3912171,1,230,104,319,1,109
3912171,0,344,444,0,0,1,557
0,3912171,0,0,104,319,1,557
3912182,3912136,1,230,246,426,1,278
3912136,3912182,1,230,246,426,1,278
3912182,3912139,1,230,246,426,1,278
3912139,3912182,1,230,246,426,1,278
3912182,3912143,1,230,246,426,1,278
3912143,3912182,241,369,246,426,1,278
3912182,3912159,1,230,246,426,1,278
3912159,3912182,237,375,246,426,1,278
3912182,3912162,1,230,246,426,1,278
3912162,3912182,237,375,246,426,1,278
3912182,3911662,1,230,104,319,1,126
3911662,3912182,344,444,246,426,1,126
3912182,3912166,1,230,246,426,1,278
3912166,3912182,1,230,246,426,1,278
3912182,3912169,1,230,246,426,1,278
3912169,3912182,241,369,246,426,1,278
3912182,3912171,1,230,104,319,1,126
3912171,3912182,344,444,246,426,1,126
3912182,0,1,230,0,0,1,229
0,3912182,0,0,246,426,1,229
0,3912136,0,0,246,426,1,430
3912136,0,1,230,0,0,1,430
0,3912139,0,0,246,426,1,430
3912139,0,1,230,0,0,1,430
0,3912143,0,0,246,426,1,430
3912143,0,241,369,0,0,1,430
0,3912159,0,0,246,426,1,430
3912159,0,237,375,0,0,1,430
0,3912162,0,0,246,426,1,430
3912162,0,237,375,0,0,1,430
0,3911662,0,0,104,319,1,325
3911662,0,344,444,0,0,1,325
0,3912166,0,0,246,426,1,430
3912166,0,1,230,0,0,1,430
0,3912169,0,0,246,426,1,430
3912169,0,241,369,0,0,1,430
0,3912171,0,0,104,319,1,325
3912171,0,344,444,0,0,1,325
0,3912182,0,0,246,426,1,430
3912182,0,1,230,0,0,1,430
