CD_ORDER,CD_MISSION,NM_PRIORITY,TP_MISSION,DSC_MISSION,UDC,OID_STACKED_UDC,OID_FORKLIFT,FROM_X,FROM_Y,FROM_Z,AREA_FROM,TP_AREA_FROM,DSC_AREA_FROM,BEAM_FROM,AREA_TO,TP_AREA_TO,DSC_AREA_TO,BEAM_TO,TO_X,TO_Y,TO_Z,DT_INSERT,DT_START,DT_UPDATE,DIFF,OID_ORDER_R_BEAM,OID_ORDER,OID_ORDER_R,OID_ARTICLE,OID_BATCH,QTY_TO_PICK,NM_ENTIRE,NM_TOTAL,CD_ARTICLE,DSC_ARTICLE,WEIGHT,HEIGHT,TP_UDC,DT_READY_TO_GO,DIFF_READY_TO_GO,DISTANCE
2562117272,"3,877,197",8,15,CARICO DA MAG AUTO,1,"3,770,597",34,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,0000000000,STOCK,0000000000,-,1,230,4,10/24/2022 08:07:27,10/24/2022 08:08:12,10/24/2022 08:10:10,2,"1,376,897","1,302,390",0,0,0,0,1,1,728727,WALKS 1.0 GRAY SOFT 40X80 RETT,348,600,1,10/24/2022 08:09:03,1,363
2562117024,"3,878,003",8,15,CARICO DA MAG AUTO,1,"3,771,261",34,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,0000000000,STOCK,0000000000,-,1,230,4,10/24/2022 12:11:54,10/24/2022 12:13:05,10/24/2022 12:14:48,2,"1,377,242","1,302,094",0,0,0,0,1,1,765960,ONYX&MORE WHITE ONYX GLO 6MM 60X120 R,500,600,1,10/24/2022 12:13:47,1,363
2562117823,"3,879,702",8,15,CARICO DA MAG AUTO,1,"3,772,832",34,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,0000000000,STOCK,0000000000,-,1,230,4,10/25/2022 05:08:58,10/25/2022 05:09:59,10/25/2022 05:12:00,2,"1,377,657","1,302,999",0,0,0,0,1,1,768329,SENSI WHITE DUST 40X80 RETT,348,580,1,10/25/2022 05:10:41,1,363
2562118063,"3,882,269",8,15,CARICO DA MAG AUTO,1,"3,775,324",34,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,0000000000,STOCK,0000000000,-,1,230,4,10/25/2022 19:12:00,10/25/2022 19:12:13,10/25/2022 19:14:01,2,"1,378,772","1,303,237",0,0,0,0,1,1,773384,ATMOSPHERES CHARME SABLE R10_B 40X80 R,268,590,1,10/25/2022 19:12:54,1,363
2562118285,"3,887,251",8,15,CARICO DA MAG AUTO,1,"3,780,156",44,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,0000000000,STOCK,0000000000,-,1,230,4,10/27/2022 10:44:06,10/27/2022 10:46:10,10/27/2022 10:47:28,1,"1,380,286","1,303,473",0,0,0,0,1,1,765234,BUILDTECH 2.0 CE MUD NAT 60X120 RET,416,520,1,10/27/2022 10:46:27,0,363
2562120035,"3,891,529",8,15,CARICO DA MAG AUTO,1,"3,784,125",34,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,0000000000,STOCK,0000000000,-,1,230,4,10/28/2022 19:20:45,10/28/2022 19:21:43,10/28/2022 19:23:17,2,"1,381,621","1,305,437",0,0,0,0,1,1,768358,SENSI WHITE LITHOS 80x80 RETT,409,530,1,10/28/2022 19:22:15,1,363
2562120087,"3,891,532",8,15,CARICO DA MAG AUTO,1,"3,784,130",34,242,416,0,MA-TE-PIC,OUT_AUTO_T,DEPOSITO TERRA USCITA MA,-,0000000000,STOCK,0000000000,-,1,230,4,10/28/2022 19:22:10,10/28/2022 19:23:19,10/28/2022 19:24:55,2,"1,381,623","1,305,487",0,0,0,0,1,1,755713,MATIÈRES DE REX GRIS 40X80 RET,286,570,1,10/28/2022 19:23:53,1,363
