Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3882949,Service,11.199994418630611,11.19999441863061,21.293327751963943,10.093333333333334
1,2,3882949,3883881,Service,10.094883279612652,31.442087013548782,41.555420346882116,10.113333333333333
1,3,3883881,0,Return to Base,11.199994418630611,,,
2,1,0,3877977,Service,11.199994418630611,11.19999441863061,21.316661085297277,10.116666666666667
2,2,3877977,3883470,Service,10.078139171445715,31.39480025674299,41.48813359007632,10.093333333333334
2,3,3883470,0,Return to Base,11.199994418630611,,,
3,1,0,3885778,Service,11.199994418630611,11.19999441863061,21.36999441863061,10.170000000000002
3,2,3885778,3883251,Service,10.092092594918164,31.462087013548782,41.555420346882116,10.093333333333334
3,3,3883251,0,Return to Base,11.199994418630611,,,
4,1,0,3881988,Service,11.199994418630611,11.19999441863061,21.313327751963943,10.113333333333333
4,2,3881988,3883931,Service,10.094883279612652,31.408211031576588,41.52154436490992,10.113333333333333
4,3,3883931,0,Return to Base,11.199994418630611,,,
