Operator,Task,Start,Finish,Successor
1,3883548,10.0,20.513333333333335,3883627
1,3883627,30.984959046702116,41.494959046702114,0
2,3880984,10.0,20.513333333333335,3882303
2,3882303,30.971005623229658,41.39767228989632,3878192
2,3878192,51.85534457979264,62.24534457979264,0
3,3889611,10.018372054083457,20.425038720750123,3886698
3,3886698,30.874338956562994,41.254338956563,3880532
3,3880532,51.71201124645931,62.24534457979264,0
4,3872601,30.644571839200722,41.167905172534056,3877204
4,3877204,51.695344579792646,62.24534457979264,0
