Operator,Task,Start,Finish,Successor
1,3883514,1.7763568394002505e-15,11.236666666666668,3885524
1,3885524,22.28038274240584,33.517049409072506,0
2,3886872,0.0,11.223333333333333,3876725
2,3876725,22.225189138655196,33.42185580532186,3889589
2,3889589,44.43487434942166,55.63154101608833,0
3,3885168,0.0,11.23,3884527
3,3884527,44.35968074567096,55.59634741233762,0
4,3884478,0.0,11.196666666666667,3891105
4,3891105,22.204103841377485,33.434103841377485,3884923
4,3884923,44.44154101608831,55.638207682754974,0
