Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3891381,Service,10.636276110343672,0.0,11.236858974358974,11.236858974358974
1,2,3891381,3894181,Service,11.001855805321835,22.238714779680812,33.53224042070645,11.293525641025639
1,3,3894181,3888180,Service,11.021390598183263,44.55363101888972,55.90696435222305,11.353333333333332
1,4,3888180,0,Return to Base,10.622322686871223,,,
2,1,0,3884736,Service,10.622322686871223,0.0,11.37352564102564,11.37352564102564
2,2,3884736,3890865,Service,11.026971967572244,22.400497608597867,33.760689916290175,11.360192307692309
2,3,3890865,0,Return to Base,10.636276110343672,,,
