Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3888296,Service,10.54976488481449,10.549764884814493,21.799764884814493,11.25
1,2,3888296,3873541,Service,11.102320454323468,32.902085339137955,44.36172168581743,11.459636346679474
1,3,3873541,3884954,Service,11.07441360737857,55.436135293196,66.72946862652934,11.293333333333337
1,4,3884954,3885292,Service,11.07999497676755,77.80946360329689,89.1494636032969,11.340000000000003
1,5,3885292,0,Return to Base,10.552555569508979,,,
2,1,0,3881664,Service,10.54976488481449,10.549764884814493,22.01606789816064,11.466303013346145
2,2,3881664,3890086,Service,11.130227301268366,33.14629519942902,44.61259821277517,11.466303013346149
2,3,3890086,3891401,Service,11.155343463518774,55.76794167629393,67.28424468964008,11.516303013346146
2,4,3891401,0,Return to Base,10.527439407258571,,,
