Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3880968,Service,11.174878256380202,11.174878256380197,22.384878256380198,11.21
1,2,3880968,3880227,Service,10.764647606290204,33.1495258616704,44.3595258616704,11.21
1,3,3880227,3885380,Service,10.764647606290204,55.1241734669606,66.3341734669606,11.210000000000008
1,4,3885380,0,Return to Base,11.174878256380202,,,
2,1,0,3880245,Service,11.174878256380202,11.174878256380197,22.384878256380198,11.21
2,2,3880245,3890466,Service,10.764647606290204,33.1495258616704,44.3595258616704,11.21
2,3,3890466,3885803,Service,10.764647606290204,55.1241734669606,66.3341734669606,11.210000000000008
2,4,3885803,0,Return to Base,11.174878256380202,,,
