Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3872224,Service,10.66976432667755,10.669764326677551,21.49643099334422,10.826666666666668
1,2,3872224,3885590,Service,10.40185859600653,31.898289589350753,42.36828958935075,10.469999999999999
1,3,3885590,3874679,Service,10.329300793949795,52.69759038330055,63.44759038330055,10.75
1,4,3874679,3886508,Service,10.329300793949795,73.77689117725035,84.24689117725035,10.469999999999999
1,5,3886508,3874657,Service,10.329300793949795,94.57619197120015,105.32619197120015,10.75
1,6,3874657,0,Return to Base,10.742322128734285,,,
