Operator,Task,Start,Finish,Successor
1,3882113,10.82883335426348,21.09883335426348,3877641
1,3877641,31.41976209412981,41.689762094129804,3877646
1,3877646,52.01069083399614,62.3073575006628,0
2,3877951,10.85953088590287,21.112864219236204,3877920
2,3877920,31.444955697880488,41.69162236454716,3877937
2,3877937,52.023713843191445,62.270380509858114,0
3,3882226,10.845577462430413,21.168910795763747,3877642
3,3877642,31.506583643797015,41.76991697713035,0
4,3877959,10.85953088590287,21.12953088590287,3877643
4,3877643,31.469994418630634,41.8166610852973,0
