Operator,Task,Start,Finish,Successor
1,3884442,11.174878256380225,21.308211589713558,3890321
1,3890321,31.41425760810416,41.54092427477082,0
1,3890321,31.41425760810416,41.54092427477082,3890497
1,3890497,51.64652764452254,61.779860977855876,0
2,3888097,11.174878256380197,21.3048782563802,3887398
2,3887398,31.413714959465302,41.54038162613197,3876974
2,3876974,51.64642764452257,61.7797609778559,0
2,3876974,51.64642764452257,61.7797609778559,3890497
2,3890497,51.64652764452254,61.779860977855876,0
