Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3891312,Service,10.937670057348571,10.937670057348583,21.854336724015248,10.916666666666664
1,2,3891312,3891569,Service,10.789763768540611,32.644100492555864,43.56076715922253,10.916666666666664
1,3,3891569,3888030,Service,10.95720485021,54.517972009432526,65.58797200943252,11.069999999999993
1,4,3888030,0,Return to Base,10.837205408346938,,,
2,1,0,3891582,Service,10.937670057348571,10.937670057348583,21.854336724015248,10.916666666666664
2,2,3891582,3891546,Service,10.789763768540611,32.644100492555864,43.56076715922253,10.916666666666664
2,3,3891546,3888001,Service,10.95720485021,54.517972009432526,65.58797200943252,11.069999999999993
2,4,3888001,0,Return to Base,10.837205408346938,,,
