Operator,Task,Start,Finish,Successor
1,3877611,10.622322554517757,21.602322554517755,3885458
1,3885458,32.450690833996106,43.42735750066277,3885438
1,3885438,54.272934831578766,65.24960149824543,3888187
1,3888187,76.1091325136627,87.20246584699603,3888191
1,3888191,98.07595015537134,109.10261682203802,0
1,3888191,98.07595015537134,109.10261682203802,3888187
1,3888191,98.07595015537134,109.10261682203802,3888188
1,3888188,119.95935702224637,130.96602368891303,3885438
1,3888188,119.95935702224637,130.96602368891303,3888190
1,3888190,141.81439183503792,152.9010585017046,3890014
1,3890014,163.76338007130195,174.79004673796862,0
1,3890014,163.76338007130195,174.79004673796862,3888191
