Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3878715,Service,10.622322686871223,10.622322686871229,21.97927503315971,11.35695234628848
1,2,3878715,3888223,Service,11.021390598183263,33.00066563134297,44.397617977631455,11.396952346288487
1,3,3888223,0,Return to Base,10.613950632787754,,,
2,1,0,3891064,Service,10.622322686871223,10.622322686871229,21.828989353537896,11.206666666666667
2,2,3891064,3891375,Service,10.898600471625713,32.727589825163605,43.907589825163605,11.18
2,3,3891375,3885263,Service,10.898600471625713,54.806190296789325,65.98285696345599,11.176666666666662
2,4,3885263,0,Return to Base,10.622322686871223,,,
