Operator,Task,Start,Finish,Successor
1,3874863,11.174878256380197,22.384878256380198,0
2,3885365,11.174878256380197,22.384878256380198,3874873
2,3874873,33.149525862670394,44.359525862670395,0
3,3874832,11.174878256380197,22.384878256380198,3888093
3,3888093,33.149525862670394,44.359525862670395,0
4,3885227,11.174878256380197,22.384878256380198,3874852
4,3874852,33.149525862670394,44.359525862670395,0
5,3874820,11.174878256380197,22.384878256380198,3874807
5,3874807,33.149525862670394,44.359525862670395,0
