Operator_ID,Sequence_Rank,From_Node,To_Node,Activity_Type,Travel_Time,Start_Service,Finish_Service,Processing_Time
1,1,0,3891395,Service,11.462318779912652,0.0,10.230919589533913,10.230919589533913
1,2,3891395,3873546,Service,10.106046018390613,20.336965607924512,30.460298941257847,10.123333333333335
1,3,3873546,0,Return to Base,11.462318779912652,,,
2,1,0,3885877,Service,11.462318779912652,0.0,10.14,10.14
2,2,3885877,3873544,Service,10.13116218064102,20.271162180641017,30.42449551397435,10.153333333333332
2,3,3873544,0,Return to Base,11.487434942163059,,,
3,1,0,3874649,Service,11.487434942163059,0.0,10.126666666666667,10.126666666666667
3,2,3874649,3878216,Service,10.100464649001633,20.227131315668288,30.441384238535534,10.214252922867246
3,3,3878216,0,Return to Base,11.462318779912652,,,
